City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sanctuary point,-35.1114,150.629,296.59,31,0,3.31,AU,1696030434
83,isafjordur,66.0755,-23.124,276.78,87,99,2.36,IS,1696030434
84,jwaneng,-24.6004,24.7303,290.76,36,0,3.98,BW,1696030434
85,lompoc,34.6391,-120.4579,297.05,68,100,5.14,US,1696030199
86,flying fish cove,-10.4217,105.6791,296.97,94,100,3.6,CX,1696030292
87,mandera,3.9366,41.867,299.42,69,39,7.54,KE,1696030435
88,priladozhskiy,59.85,31.4833,288.03,83,100,2.91,RU,1696030435
89,susuman,62.7833,148.1667,270.49,71,61,1.91,RU,1696030294
90,college,64.8569,-147.8028,279.86,52,75,0.45,US,1696030300
91,happy valley-goose bay,53.3168,-60.3315,286.32,62,75,2.06,CA,1696030338
92,greymouth,-42.4667,171.2,284.34,56,53,2.75,NZ,1696030435
93,vila franca do campo,37.7167,-25.4333,296.38,99,96,5.75,PT,1696030276
94,jordan,31.0,36.0,295.76,35,0,1.72,JO,1696030436
95,kodiak,57.79,-152.4072,283.88,76,20,0.0,US,1696030031
96,waddan,29.1614,16.139,295.39,67,18,4.46,LY,1696030436
97,harstad,68.799,16.5293,284.15,95,100,10.28,NO,1696030436
98,vydrino,51.485,104.8461,281.92,65,28,2.29,RU,1696030436
99,mikuni,36.2171,136.1519,295.1,59,74,2.13,JP,1696030436
100,chonchi,-42.6128,-73.8092,283.71,88,7,0.5,CL,1696030037
101,kununurra,-15.7667,128.7333,300.14,74,40,2.06,AU,1696030437
102,humaita,-7.5061,-63.0208,299.19,81,90,0.86,BR,1696030437
103,nova sintra,14.8667,-24.7167,298.05,80,99,2.66,CV,1696030437
104,minas de marcona,-15.2119,-75.1103,287.63,83,36,5.59,PE,1696030437
105,urengoy,65.9667,78.3667,273.77,88,38,6.71,RU,1696030437
106,newman,37.3138,-121.0208,302.34,54,23,3.13,US,1696030437
107,san antonio de pale,-1.4014,5.6325,297.82,84,34,3.64,GQ,1696030438
108,duekoue,6.7472,-7.3496,296.57,95,80,1.19,CI,1696030438
109,rechka-vydrino,51.485,104.8461,281.92,65,28,2.29,RU,1696030438
110,mariental,-24.6333,17.9667,292.43,15,74,0.03,NA,1696030438
111,valle de la pascua,9.2155,-66.0073,301.42,61,86,1.14,VE,1696030438
112,la'ie,21.6477,-157.9253,305.13,73,99,1.79,US,1696030338
113,afaahiti,-17.75,-149.2833,300.08,86,33,8.02,PF,1696030319
114,antalaha,-14.9003,50.2788,294.23,88,69,2.29,MG,1696030439
115,mount gambier,-37.8333,140.7667,294.3,40,65,4.48,AU,1696030305
116,paradip garh,20.3167,86.6167,299.55,88,100,2.04,IN,1696030439
117,sarykemer,43.0,71.5,284.86,50,39,1.01,KZ,1696030439
118,velikiy ustyug,60.7644,46.3106,283.37,95,100,1.34,RU,1696030439
119,northam,51.0333,-4.2167,286.85,94,100,2.49,GB,1696030439
120,sarh,9.1429,18.3923,298.1,100,0,0.0,TD,1696030440
121,kertih,4.5141,103.4483,298.2,94,40,0.0,MY,1696030440
122,porto velho,-8.7619,-63.9039,301.18,78,20,1.03,BR,1696030177
123,bamboo flat,11.7,92.7167,299.2,89,75,3.09,IN,1696030295
124,rampur,28.8167,79.0333,297.5,82,57,1.5,IN,1696030440
125,praia da vitoria,38.7333,-27.0667,294.68,94,40,2.26,PT,1696030440
126,bodaybo,57.8506,114.1933,279.76,78,73,0.59,RU,1696030440
127,manakara,-22.1333,48.0167,292.39,93,1,2.84,MG,1696030441
128,ribeira grande,38.5167,-28.7,293.02,94,100,1.79,PT,1696030295
129,warmbad,-28.45,18.7333,289.07,28,40,3.13,NA,1696030441
130,punta arenas,-53.15,-70.9167,281.21,57,0,2.57,CL,1696030308
131,tolanaro,-25.0319,46.9987,296.19,88,20,7.2,MG,1696030024
132,stanley,54.868,-1.6985,284.14,92,0,2.06,GB,1696030277
133,vorkuta,67.5,64.0,272.5,80,96,2.64,RU,1696030336
134,mirabad,30.4362,61.8383,293.52,24,0,7.91,AF,1696030442
135,ust'-barguzin,53.45,108.9833,280.01,82,6,1.71,RU,1696030442
136,vanimo,-2.6741,141.3028,302.24,67,54,2.38,PG,1696030442
137,tobruk,32.0836,23.9764,296.59,76,0,3.57,LY,1696030442
138,raduzhnyy,62.0961,77.475,272.62,79,10,5.06,RU,1696030442
139,sona,45.4388,10.8255,291.25,77,0,1.03,IT,1696030443
140,kavaratti,10.5669,72.642,300.7,82,84,8.26,IN,1696030281
141,jabor,5.921,169.6434,300.51,80,100,5.75,MH,1696030443
142,san mariano,7.5,126.0,299.94,79,100,1.47,PH,1696030443
143,alice springs,-23.7,133.8833,298.9,13,49,2.57,AU,1696030285
144,nagqu,31.5,92.0,273.79,90,63,1.91,CN,1696030443
145,codrington,-38.2667,141.9667,293.99,48,64,6.94,AU,1696030318
146,geraldton,-28.7667,114.6,285.38,87,40,4.12,AU,1696030286
147,alesund,62.4723,6.1549,286.9,82,100,3.6,NO,1696030443
148,yarkovo,57.4028,67.0786,283.0,93,100,2.09,RU,1696030444
149,rawlins,41.7911,-107.2387,297.09,12,0,6.17,US,1696030444
150,nuku'alofa,-21.1333,-175.2,297.34,60,20,5.14,TO,1696030444
151,akonolinga,3.7667,12.25,292.78,99,61,1.25,CM,1696030444
152,griffith,41.5284,-87.4237,294.89,75,0,3.09,US,1696030293
153,ceeldheer,3.8488,47.1806,298.73,87,43,7.17,SO,1696030444
154,camapua,-19.5314,-54.0439,302.06,52,67,2.55,BR,1696030444
155,kamenka,51.3223,42.7678,286.61,85,52,1.65,RU,1696030445
156,pitimbu,-7.4706,-34.8086,298.48,74,86,6.22,BR,1696030445
157,broken hill,-31.95,141.4333,300.37,18,0,4.8,AU,1696030326
158,pionerskiy,54.9508,20.2275,290.23,80,100,3.83,RU,1696030445
159,yanam,16.7333,82.2167,298.25,94,99,2.29,IN,1696030445
160,nuuk,64.1835,-51.7216,275.49,93,75,5.14,GL,1696030134
161,vilhena,-12.7406,-60.1458,297.27,94,40,2.06,BR,1696030446
162,faya-largeau,17.9257,19.1043,304.48,37,76,3.17,TD,1696030446
163,pampa,35.5362,-100.9599,306.68,29,44,10.29,US,1696030446
164,avarua,-21.2078,-159.775,299.18,83,75,4.63,CK,1696030294
165,yilan,24.757,121.753,304.27,78,6,1.14,TW,1696030446
166,tazovsky,67.4667,78.7,270.3,81,16,7.5,RU,1696030297
167,college station,30.628,-96.3344,307.37,42,0,3.6,US,1696030446
168,iskateley,67.6803,53.1512,275.96,75,100,7.41,RU,1696030289
169,bengkulu,-3.8004,102.2655,294.93,94,79,1.65,ID,1696030055
170,cabo san lucas,22.8909,-109.9124,308.49,49,20,3.6,MX,1696030200
171,ma'ili,21.4219,-158.1803,305.16,56,40,5.14,US,1696030447
172,tamanrasset,22.785,5.5228,299.1,24,40,1.54,DZ,1696030447
173,wenling,28.3669,121.36,299.63,77,0,1.09,CN,1696030447
174,zaozersk,69.4005,32.4476,282.57,94,100,3.53,RU,1696030321
175,cole harbour,44.6724,-63.4751,287.86,92,61,0.89,CA,1696030447
176,luganville,-15.5333,167.1667,298.63,61,95,6.87,VU,1696030448
177,saint-pierre,-21.3393,55.4781,294.97,64,75,2.57,RE,1696030448
178,ko samui,9.5357,99.9357,300.1,89,20,0.0,TH,1696030448
179,menongue,-14.6585,17.691,292.59,36,67,1.65,AO,1696030448
180,waingapu,-9.6567,120.2641,300.57,63,36,4.38,ID,1696030448
